Station:Prince George Plaza 400 -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 1/7/2018 6:00 AM          ,         
 , 1/7/2018 7:00 AM          ,         
 , 1/7/2018 8:00 AM          ,         
 , 1/7/2018 9:00 AM          ,         
 , 1/7/2018 10:00 AM         ,         
 , 1/7/2018 11:00 AM         ,         
 , 1/7/2018 12:00 PM         ,         
 , 1/7/2018 1:00 PM          ,         
 , 1/7/2018 2:00 PM          ,         
 , 1/7/2018 3:00 PM          ,         
 , 1/7/2018 4:00 PM          ,         
 , 1/7/2018 5:00 PM          ,         
 , 1/7/2018 6:00 PM          ,         
 , 1/7/2018 7:00 PM          ,         
 , 1/7/2018 8:00 PM          ,         
 , 1/7/2018 9:00 PM          ,         
 , 1/7/2018 10:00 PM         ,         
 , 1/7/2018 11:00 PM         ,         
 , 1/7/2018 24:00 AM         ,         
 , 1/8/2018 1:00 AM          ,         
 , 1/8/2018 2:00 AM          ,         
 , 1/8/2018 3:00 AM          ,         
 , 1/8/2018 4:00 AM          ,         
 , 1/8/2018 5:00 AM          ,         
 , 1/8/2018 6:00 AM          ,         
 , 1/8/2018 7:00 AM          ,         
 , 1/8/2018 8:00 AM          ,         
 , 1/8/2018 9:00 AM          ,         
 , 1/8/2018 10:00 AM         ,         
 , 1/8/2018 11:00 AM         ,         
 , 1/8/2018 12:00 PM         ,         
 , 1/8/2018 1:00 PM          ,         
 , 1/8/2018 2:00 PM          ,         
 , 1/8/2018 3:00 PM          ,         
 , 1/8/2018 4:00 PM          ,         
 , 1/8/2018 5:00 PM          ,         
 , 1/8/2018 6:00 PM          ,         
 , 1/8/2018 7:00 PM          ,         
 , 1/8/2018 8:00 PM          ,         
 , 1/8/2018 9:00 PM          ,         
 , 1/8/2018 10:00 PM         ,         
 , 1/8/2018 11:00 PM         ,         
 , 1/8/2018 24:00 AM         ,         
 , 1/9/2018 1:00 AM          ,         
 , 1/9/2018 2:00 AM          ,         
 , 1/9/2018 3:00 AM          ,         
 , 1/9/2018 4:00 AM          ,         
 , 1/9/2018 5:00 AM          ,         
 , 1/9/2018 6:00 AM          ,         
 , 1/9/2018 7:00 AM          ,         
 , 1/9/2018 8:00 AM          ,         
 , 1/9/2018 9:00 AM          ,         
 , 1/9/2018 10:00 AM         ,         
 , 1/9/2018 11:00 AM         ,         
 , 1/9/2018 12:00 PM         ,         
 , 1/9/2018 1:00 PM          ,         
 , 1/9/2018 2:00 PM          ,         
 , 1/9/2018 3:00 PM          ,         
 , 1/9/2018 4:00 PM          ,         
 , 1/9/2018 5:00 PM          ,         
 , 1/9/2018 6:00 PM          ,         
 , 1/9/2018 7:00 PM          ,         
 , 1/9/2018 8:00 PM          ,         
 , 1/9/2018 9:00 PM          ,         
 , 1/9/2018 10:00 PM         ,         
